user_id,user_session,events_in_session,distinct_products,distinct_event_types,purchases,session_revenue,session_date,session_duration_minutes
648775038,060b5762-741f-4825-94c5-d1b3e2f7bd27,34570,2744,1,0,0.0,2020-04-28,1438.0
649279630,e8473dfb-79bd-4667-b887-fa09e0cbf95d,32639,2847,1,0,0.0,2020-04-29,1412.0
647786047,c498f9db-c99d-43cc-bb42-de0f7c91a9ba,23132,1900,1,0,0.0,2020-04-27,1044.0
647296094,181ada8f-e94f-4fc2-a2e3-48113a5f1498,22172,2061,1,0,0.0,2020-04-26,1083.0
648264194,b62c6611-8108-4699-b53f-8b5b690c2741,18536,1726,1,0,0.0,2020-04-27,895.0
646997538,8233db40-5bce-452d-8e92-d00787933431,14546,1401,1,0,0.0,2020-04-25,657.0
640021198,67505435-2e2a-4607-87db-aa2241554f8e,12735,3184,1,0,0.0,2020-04-11,1041.0
648564520,e5708e51-9726-4f9e-b59f-c80088f805fd,12106,1186,1,0,0.0,2020-04-28,538.0
642684460,6fa36348-2323-47fd-b490-400b10d9f5a1,11396,2848,1,0,0.0,2020-04-16,1434.0
619573377,41f7ade8-dc14-4ed7-85a8-9bb96a347099,11124,1149,1,0,0.0,2020-03-25,52340.0
640670504,1f0c4991-0f80-47e8-97eb-97226f0fa8a2,10064,2517,1,0,0.0,2020-04-13,874.0
618674364,b6b1d5ee-01cb-4aad-b31e-cc6112c16863,9987,1329,2,0,0.0,2020-03-25,52121.0
639721997,bd1e210d-ec44-47e6-be8f-59718065632b,9112,2278,1,0,0.0,2020-04-11,770.0
643734922,704f7e80-b01f-4049-a42e-74c7762c1464,8340,2085,1,0,0.0,2020-04-19,999.0
646751943,34b3ba2a-ba5b-4ec3-a849-99cb66036338,8014,777,1,0,0.0,2020-04-24,333.0
639523395,55a1a201-b223-4a52-8e1c-8e1e116669d6,7604,1901,1,0,0.0,2020-04-10,627.0
641063669,5a6a3a05-2514-4689-a802-26802a055647,7505,1877,1,0,0.0,2020-04-13,618.0
639001861,e373bdff-4f5d-4f79-8688-d04972160ecb,7328,1832,1,0,0.0,2020-04-09,610.0
568791020,07173946-4f74-ba94-d132-e4995deea63b,6822,300,2,0,0.0,2020-03-25,52431.0
645904450,f98317fd-d812-46a0-92ba-d6887e64244c,6530,473,1,0,0.0,2020-04-23,718.0
571355671,e69c6126-6898-9349-9a36-3df9dae112a9,6292,1068,2,0,0.0,2020-03-30,45286.0
638783917,0ab6c5bb-baff-4316-b38e-e81404a0b598,5910,1478,1,0,0.0,2020-04-09,487.0
643208222,4c40631a-e73c-48fe-9e32-55a65bcbaeef,5831,1458,1,0,0.0,2020-04-17,672.0
646428968,fdb5b963-5482-4e6b-8559-1c42654e94fe,5736,408,1,0,0.0,2020-04-24,510.0
646827516,d10f43a4-3e92-4a90-b143-49e966a4c7e9,5642,935,1,0,0.0,2020-04-25,425.0
643417377,74e4c572-b627-4a53-ba38-f9ee71b97795,5354,1339,1,0,0.0,2020-04-18,628.0
580664156,aa2474fe-b8f8-4129-9536-009c2e4f5255,5065,5065,1,0,0.0,2019-12-02,293.0
586908116,113694fd-6231-43be-8d17-3b32b8db4ff5,5000,461,1,0,0.0,2020-04-05,35825.0
644723138,2a4d9809-6a55-4cb6-84de-324dd47ea413,4564,1141,1,0,0.0,2020-04-21,568.0
647752747,621202bf-0ecb-4657-8fa9-2e0625651450,4311,339,1,0,0.0,2020-04-26,170.0
573277455,d99d91bf-40f8-4e29-9593-54b4a1826542,4128,4128,1,0,0.0,2019-11-19,249.0
550985043,8a9edb0e-9d66-bb0a-064f-47c75b51c805,4110,2,1,0,0.0,2020-03-27,18336.0
644982285,fdabd776-1c9a-493d-a808-cc1686025c21,4020,626,1,0,0.0,2020-04-21,516.0
637360772,1d067b80-5995-4d9b-bafd-5d9cc1b2c73c,3962,3850,1,0,0.0,2020-04-08,304.0
639288984,c55cb460-94e2-46ad-885f-efd69b1f553b,3919,980,1,0,0.0,2020-04-10,333.0
637360772,aa695bb9-f56a-4946-a54a-ad9a640630e9,3820,3788,1,0,0.0,2020-04-08,304.0
637360772,c21ac07d-0d86-4bbf-80d3-c40545282d3d,3714,3712,1,0,0.0,2020-04-08,304.0
642261782,2e4a6f29-2029-4571-b5ee-429f228fb7aa,3450,863,1,0,0.0,2020-04-16,414.0
597644399,4baca346-fba2-4d4b-bec9-28f731d79db7,3449,1659,1,0,0.0,2020-04-02,492.0
597644399,4fdfd881-ee86-4758-b863-45273b7ae3a7,3419,2095,1,0,0.0,2020-04-04,522.0
645246645,b68340d8-566f-485c-9622-75414520f69c,3264,816,1,0,0.0,2020-04-22,381.0
640377013,4ade2ab0-f797-4143-bc72-97d67de2423a,3246,812,1,0,0.0,2020-04-12,271.0
597644399,3e80e302-e7b2-43fd-963b-2673c7efc9b9,3205,1433,1,0,0.0,2020-04-09,562.0
597644399,181fe9f0-8c3f-44b1-b9f2-7d76f110f998,3150,1608,2,0,0.0,2020-03-26,503.0
646257410,0bcc9024-8e40-4a3e-ab01-169bafd9daf5,3083,220,1,0,0.0,2020-04-23,390.0
603643157,63da89b4-5612-4a2c-8021-e0a00ff320a6,3048,427,1,0,0.0,2020-03-25,22124.0
597644399,01e71a63-49f1-4485-8858-cf6504c8d2a3,3026,1238,1,0,0.0,2020-04-24,572.0
597644399,9bd05acd-1583-4e39-8eca-c124137f4f39,3025,1447,1,0,0.0,2020-04-13,475.0
597644399,33c8f3e7-0df3-4ff4-9494-8d8ea28f0dcc,3010,1593,1,0,0.0,2020-04-11,509.0
637360772,3b4d937c-315a-4b23-9981-fd15f1639752,2907,2907,1,0,0.0,2020-04-07,1247.0
637360772,1afafb24-cec8-4a58-8ea5-7ee3fa2082d9,2851,2851,1,0,0.0,2020-04-07,1247.0
635621854,7d493c33-0df6-4df3-bbce-a5bb437dcede,2750,109,2,0,0.0,2020-04-02,40360.0
597644399,6625edc5-d172-42b5-933d-ec3ba7dbeed9,2715,1499,2,0,0.0,2020-03-27,484.0
638326212,4a412988-4b06-4510-b620-37aba4c5892e,2674,661,1,0,0.0,2020-04-08,302.0
597644399,6a8bd991-308d-4169-9b7f-a63a16ad0093,2665,1642,1,0,0.0,2020-04-03,477.0
597644399,df30f301-264f-4bff-a44e-1a3d494ddc4c,2606,1515,1,0,0.0,2020-04-06,535.0
597644399,cd362dbf-3b28-485f-8c76-c90375a1a619,2602,1215,1,0,0.0,2020-04-16,513.0
597644399,5c2326fb-509f-467d-be9b-65157e7d2bd9,2552,1169,1,0,0.0,2020-04-27,536.0
648203933,cffcc921-47b1-4f26-a91b-7798dded60db,2530,292,1,0,0.0,2020-04-27,149.0
565484478,c6ab8fad-6f14-4d24-8bc6-a2a32d520950,2505,3,1,0,0.0,2020-03-25,6483.0
570462872,fc749a4e-c432-4dae-a0a1-04de89f1e4ea,2466,2466,1,0,0.0,2019-11-12,134.0
648379806,7c6e0c50-5e3a-447d-8d8a-0556c792c993,2466,2466,1,0,0.0,2020-04-28,278.0
644178811,eb38f5f3-63a7-40f1-bef7-b13155e6b860,2450,613,1,0,0.0,2020-04-19,267.0
641369455,1e8b6835-5bd4-41bd-a8fb-24a79bd2890d,2405,2403,1,0,0.0,2020-04-14,247.0
645602917,d7312680-dd12-431e-ab00-b3269dc59307,2396,597,1,0,0.0,2020-04-22,308.0
637890453,e566d597-eb7a-4a23-8036-0116718bb4b8,2389,46,1,0,0.0,2020-04-07,138.0
640525862,36930ddd-34ec-485c-8e43-fbc16f833b28,2366,592,1,0,0.0,2020-04-12,181.0
597644399,7289bfc7-7092-4509-a63b-0f30049f7c6a,2364,1063,1,0,0.0,2020-04-23,509.0
597644399,d387a514-f0d2-4fb5-9f61-60ff677a24d2,2355,1081,1,0,0.0,2020-04-21,499.0
597644399,c74c3f16-3626-4a89-9220-0bf7c6eaa96b,2351,1260,1,0,0.0,2020-04-08,520.0
611459040,4dce0628-63ff-4aca-ba24-c47eee57f830,2247,1390,1,0,0.0,2020-03-26,50957.0
587436438,41f8c35b-3a96-4e1f-80a2-5b5d5f866a73,2233,12,1,0,0.0,2019-12-15,241.0
574275369,5b566360-5cd1-484d-ae91-587aad2cecf9,2226,88,2,0,0.0,2020-03-26,50358.0
568790544,78073c56-6880-4dea-8951-b86cb1b38166,2220,932,1,0,0.0,2020-04-11,27519.0
597644399,239bc08d-f457-441c-9bbf-d20e80940a39,2200,1049,1,0,0.0,2020-03-25,494.0
610619295,f3878721-f96f-472b-9ad3-42e7a62861d3,2133,2133,1,0,0.0,2020-02-05,244.0
611446002,771de524-4f0d-47c3-b4f5-317931589610,2123,2075,1,0,0.0,2020-02-07,237.0
611794704,b8cff14d-d5ea-4f6f-8111-8c4f4053fa63,2122,1619,1,0,0.0,2020-02-07,215.0
611919664,443babd7-477f-4d81-bd18-b1a7a29413e6,2121,2121,1,0,0.0,2020-02-08,230.0
613869937,c3e41eab-c552-4ca7-8261-ef2f85ec2aa9,2119,2107,1,0,0.0,2020-02-12,220.0
615332144,8b440989-39c2-4bd8-8164-cc95a152ff58,2105,2105,1,0,0.0,2020-02-15,239.0
612790086,19faaa53-f1ea-f4ae-a825-1dad9f35c82e,2100,1968,1,0,0.0,2020-02-10,241.0
601330504,f25c2bb4-8683-4ef2-b036-ebd9767171af,2087,2085,1,0,0.0,2020-01-15,285.0
640560199,bd74e536-a697-4ba0-8821-6aa23d380784,2060,515,1,0,0.0,2020-04-13,156.0
647730995,7a7acd23-8343-49c2-b07c-f4504a0ee616,2022,147,1,0,0.0,2020-04-26,86.0
597508594,fcbde967-e4d7-49df-9860-abdfee3c1824,1989,1989,1,0,0.0,2020-01-06,208.0
603834025,2965bc19-3b2e-4000-bf04-c1c871b1e1f5,1987,1987,1,0,0.0,2020-01-20,257.0
577000027,b556f0c7-3a23-44f5-9f34-e713fefa9686,1963,1963,1,0,0.0,2019-11-26,105.0
578325003,a50132a8-07bb-49bb-879b-fa9358b81315,1961,150,1,0,0.0,2020-03-28,47240.0
630689529,cfa84a61-61bc-4784-8403-3b4af91c90a9,1956,1956,1,0,0.0,2020-03-20,202.0
